src,dst,volume,path_nodes
10045,10379,253.0,"[10045, 10379]"
10045,10575,69.0,"[10045, 10575]"
10045,10757,1.0,"[10045, 10757]"
10045,11177,37.00000000000003,"[10045, 11484, 11177]"
10045,11177,0.999999999999985,"[10045, 14762, 11177]"
10045,11177,69.00000000000009,"[10045, 18545, 11177]"
10045,11177,77.99999999999991,"[10045, 18647, 11177]"
10045,11484,288.5,"[10045, 11484]"
10045,11484,11.5,"[10045, 10575, 11484]"
10045,11581,34.5,"[10045, 11484, 11581]"
10045,11581,88.0,"[10045, 14412, 11581]"
10045,11581,177.5,"[10045, 10757, 11581]"
10045,12398,1.0,"[10045, 19545, 12398]"
10045,13009,300.0,"[10045, 13009]"
10045,13502,1.0,"[10045, 19545, 13502]"
10045,14412,1.0,"[10045, 14412]"
10045,14762,300.0,"[10045, 14762]"
10045,18249,1.0,"[10045, 16313, 18249]"
10045,18545,290.9999999999999,"[10045, 18545]"
10045,18545,9.000000000000085,"[10045, 18647, 18545]"
10045,18647,300.0,"[10045, 18647]"
10045,18935,1.0,"[10045, 16313, 18935]"
10045,19545,63.0,"[10045, 19545]"
10305,11581,300.0,"[10305, 11581]"
10305,13502,88.0,"[10305, 13502]"
10379,10045,90.0,"[10379, 10045]"
10379,10045,5.0,"[10379, 14762, 10045]"
10379,13502,300.0,"[10379, 13502]"
10575,19545,108.0,"[10575, 19545]"
11177,13502,300.0,"[11177, 13502]"
11484,19545,1.0,"[11484, 10575, 19545]"
11581,10305,188.0,"[11581, 10305]"
12398,10045,90.0,"[12398, 10045]"
12398,10045,87.0,"[12398, 14412, 10045]"
12398,10045,73.00000000000009,"[12398, 19545, 10045]"
12398,10045,49.999999999999915,"[12398, 18647, 10045]"
13009,10045,300.0,"[13009, 10045]"
13009,10379,58.0,"[13009, 10379]"
13009,10575,267.0000000000001,"[13009, 10575]"
13009,10575,9.5,"[13009, 10045, 10575]"
13009,10575,23.499999999999915,"[13009, 19545, 10575]"
13009,10757,1.0,"[13009, 10757]"
13009,11177,180.0,"[13009, 11177]"
13009,11177,19.999999999999915,"[13009, 11484, 11177]"
13009,11177,11.000000000000085,"[13009, 18647, 11177]"
13009,11484,160.00000000000009,"[13009, 11484]"
13009,11484,2.9999999999999147,"[13009, 10575, 11484]"
13009,11581,0.5,"[13009, 10379, 11581]"
13009,11581,0.5,"[13009, 10757, 11581]"
13009,12398,269.0,"[13009, 12398]"
13009,12398,31.0,"[13009, 19545, 12398]"
13009,13502,1.0,"[13009, 19545, 13502]"
13009,14412,1.0,"[13009, 12398, 14412]"
13009,14762,1.0,"[13009, 16313, 14762]"
13009,18249,0.9999999999999858,"[13009, 16313, 18249]"
13009,18545,0.9999999999999716,"[13009, 19545, 18545]"
13009,18647,78.99999999999989,"[13009, 18647]"
13009,18647,12.000000000000114,"[13009, 19545, 18647]"
13009,18935,1.0,"[13009, 16313, 18935]"
13502,10045,1.0,"[13502, 19545, 10045]"
13502,10379,28.0,"[13502, 10379]"
13502,10575,119.0,"[13502, 10575]"
13502,10757,1.0,"[13502, 10757]"
13502,11177,1.0,"[13502, 18545, 11177]"
13502,11484,1.0,"[13502, 10575, 11484]"
13502,11581,1.0,"[13502, 10757, 11581]"
13502,12398,261.0,"[13502, 12398]"
13502,13009,1.0,"[13502, 18935, 13009]"
13502,14412,1.0,"[13502, 12398, 14412]"
13502,14762,1.0000000000000284,"[13502, 18935, 14762]"
13502,18249,239.0,"[13502, 18249]"
13502,18545,89.0,"[13502, 18545]"
13502,18545,13.0,"[13502, 18249, 18545]"
13502,18545,20.0,"[13502, 18647, 18545]"
13502,18647,300.0,"[13502, 18647]"
13502,18935,300.0,"[13502, 18935]"
13502,19545,168.0,"[13502, 19545]"
14412,10045,300.0,"[14412, 10045]"
14762,13502,1.0,"[14762, 11177, 13502]"
16313,10379,300.0,"[16313, 10379]"
16313,10575,44.49999999999997,"[16313, 18935, 10575]"
16313,10575,43.000000000000085,"[16313, 13502, 10575]"
16313,10575,3.499999999999943,"[16313, 11484, 10575]"
16313,10757,40.0,"[16313, 10379, 10757]"
16313,10757,85.99999999999991,"[16313, 13502, 10757]"
16313,10757,173.00000000000009,"[16313, 13009, 10757]"
16313,10757,1.0,"[16313, 10045, 10757]"
16313,11177,178.0,"[16313, 14762, 11177]"
16313,11177,88.99999999999994,"[16313, 18249, 11177]"
16313,11177,33.00000000000006,"[16313, 11484, 11177]"
16313,11484,1.0,"[16313, 11484]"
16313,11581,88.0,"[16313, 18249, 11581]"
16313,11581,159.5,"[16313, 10379, 11581]"
16313,11581,52.5,"[16313, 11484, 11581]"
16313,12398,1.0,"[16313, 13502, 12398]"
16313,13009,1.0,"[16313, 13009]"
16313,14412,1.0,"[16313, 10045, 14412]"
16313,14762,1.0,"[16313, 14762]"
16313,18249,300.0,"[16313, 18249]"
16313,18545,1.0,"[16313, 18249, 18545]"
16313,18647,153.0,"[16313, 10045, 18647]"
16313,18647,40.0,"[16313, 13502, 18647]"
16313,18935,122.0,"[16313, 18935]"
16313,19545,90.0,"[16313, 19545]"
16313,19545,25.0,"[16313, 10045, 19545]"
16313,19545,153.5,"[16313, 18935, 19545]"
16313,19545,10.0,"[16313, 13502, 19545]"
16313,19545,21.5,"[16313, 13009, 19545]"
18249,10045,269.0,"[18249, 10045]"
18249,10045,31.0,"[18249, 18545, 10045]"
18249,10379,1.0,"[18249, 13502, 10379]"
18249,11177,1.0,"[18249, 18545, 11177]"
18249,11581,1.0,"[18249, 11581]"
18249,12398,1.0,"[18249, 13502, 12398]"
18249,13009,1.0,"[18249, 10045, 13009]"
18249,13502,237.0,"[18249, 13502]"
18249,18545,43.0,"[18249, 18545]"
18249,18935,1.0,"[18249, 13502, 18935]"
18249,19545,1.0,"[18249, 13502, 19545]"
18545,10045,236.0,"[18545, 10045]"
18545,13502,1.0,"[18545, 11177, 13502]"
18647,10045,1.0,"[18647, 10045]"
18935,10379,39.0,"[18935, 10379]"
18935,10575,300.0,"[18935, 10575]"
18935,10757,270.0,"[18935, 10757]"
18935,10757,5.499999999999915,"[18935, 13009, 10757]"
18935,10757,24.500000000000085,"[18935, 19545, 10757]"
18935,11177,1.0000000000000568,"[18935, 18249, 11177]"
18935,11177,179.99999999999994,"[18935, 10575, 11177]"
18935,11177,90.0,"[18935, 18545, 11177]"
18935,11484,1.0,"[18935, 10575, 11484]"
18935,11581,1.0,"[18935, 18249, 11581]"
18935,12398,90.0,"[18935, 12398]"
18935,12398,7.0,"[18935, 19545, 12398]"
18935,13009,45.0,"[18935, 13009]"
18935,14762,201.0,"[18935, 14762]"
18935,18249,300.0,"[18935, 18249]"
18935,18545,1.0,"[18935, 18249, 18545]"
18935,18647,1.0,"[18935, 19545, 18647]"
18935,19545,259.0,"[18935, 19545]"
19545,10045,1.0,"[19545, 10045]"
19545,10379,270.0,"[19545, 10379]"
19545,10379,3.0000000000000853,"[19545, 10045, 10379]"
19545,10379,26.999999999999915,"[19545, 16313, 10379]"
19545,10575,300.0,"[19545, 10575]"
19545,10757,64.49999999999991,"[19545, 10757]"
19545,10757,2.0000000000000853,"[19545, 13502, 10757]"
19545,10757,0.5,"[19545, 10045, 10757]"
19545,11177,1.0,"[19545, 18647, 11177]"
19545,11484,1.0,"[19545, 10575, 11484]"
19545,11581,1.0,"[19545, 10757, 11581]"
19545,12398,1.0,"[19545, 12398]"
19545,13009,270.0,"[19545, 13009]"
19545,13009,30.0,"[19545, 16313, 13009]"
19545,13502,146.0,"[19545, 13502]"
19545,14412,1.0,"[19545, 12398, 14412]"
19545,14762,1.0,"[19545, 10045, 14762]"
19545,18249,270.0,"[19545, 18249]"
19545,18249,13.999999999999915,"[19545, 13502, 18249]"
19545,18249,16.000000000000085,"[19545, 16313, 18249]"
19545,18545,269.0,"[19545, 18545]"
19545,18545,31.0,"[19545, 18647, 18545]"
19545,18647,43.0,"[19545, 18647]"
19545,18935,180.0,"[19545, 18935]"
19545,18935,107.0,"[19545, 16313, 18935]"
