commodity_id,src,dst,demand,u,v,flow
72,10045,11177,185.0,14762,11484,185.0
72,10045,11177,185.0,10045,14762,185.0
72,10045,11177,185.0,11484,11177,185.0
73,16313,13009,1.0,16313,18935,1.0
73,16313,13009,1.0,18935,13009,1.0
74,13502,14762,1.0,13502,14762,1.0
75,13502,10757,1.0,14762,11484,1.0
75,13502,10757,1.0,13502,14762,1.0
75,13502,10757,1.0,11484,10757,1.0
76,19545,13502,146.0,19545,13502,146.0
77,16313,11484,1.0,19545,11484,1.0
77,16313,11484,1.0,16313,10045,1.0
77,16313,11484,1.0,10045,19545,1.0
78,16313,10757,300.0,14762,11484,300.0
78,16313,10757,300.0,16313,10045,300.0
78,16313,10757,300.0,10045,14762,300.0
78,16313,10757,300.0,11484,10757,300.0
79,13502,18545,122.0,18249,18545,121.99999999999999
79,13502,18545,122.0,13502,18249,121.99999999999999
80,13009,11581,1.0,14762,11484,1.0
80,13009,11581,1.0,13009,14762,1.0
80,13009,11581,1.0,11484,11581,1.0
81,16313,19545,300.0,16313,10045,300.0
81,16313,19545,300.0,10045,19545,300.0
82,10045,10757,1.0,14762,11484,1.0
82,10045,10757,1.0,10045,14762,1.0
82,10045,10757,1.0,11484,10757,1.0
83,18935,12398,97.0,14762,12398,97.0
83,18935,12398,97.0,13009,14762,97.0
83,18935,12398,97.0,18935,13009,97.0
84,18647,10045,1.0,14762,10045,1.0
84,18647,10045,1.0,19545,14762,1.0
84,18647,10045,1.0,11484,19545,1.0
84,18647,10045,1.0,18647,11484,1.0
85,13009,10379,58.0,14762,11484,4.000000000000051
85,13009,10379,58.0,13009,18935,58.0
85,13009,10379,58.0,18935,18249,4.000000000000045
85,13009,10379,58.0,18935,10379,53.99999999999996
85,13009,10379,58.0,18249,14762,4.000000000000045
85,13009,10379,58.0,13502,10379,4.000000000000051
85,13009,10379,58.0,11484,10757,4.000000000000051
85,13009,10379,58.0,11177,13502,4.000000000000051
85,13009,10379,58.0,10757,11177,4.000000000000051
86,18249,18935,1.0,14762,13009,1.0
86,18249,18935,1.0,13009,18935,1.0
86,18249,18935,1.0,18249,14762,1.0
87,18935,10575,300.0,14762,10575,300.0
87,18935,10575,300.0,13009,14762,300.0
87,18935,10575,300.0,18935,13009,300.0
88,10379,13502,300.0,10379,13502,300.0
89,10045,11581,300.0,14762,11484,300.0
89,10045,11581,300.0,10045,14762,300.0
89,10045,11581,300.0,11484,11581,300.0
90,13502,18647,300.0,14762,19545,7.000000000000835
90,13502,18647,300.0,14762,11484,292.99999999999915
90,13502,18647,300.0,19545,18647,7.000000000000835
90,13502,18647,300.0,13502,14762,300.0
90,13502,18647,300.0,11484,18647,292.99999999999915
91,13502,14412,1.0,14762,11484,1.0
91,13502,14412,1.0,13502,14762,1.0
91,13502,14412,1.0,11484,14412,1.0
92,10045,18545,300.0,14762,18545,300.0
92,10045,18545,300.0,10045,14762,300.0
93,13009,14412,1.0,14762,11484,1.0
93,13009,14412,1.0,13009,14762,1.0
93,13009,14412,1.0,11484,14412,1.0
94,13502,10045,1.0,14762,10045,1.0
94,13502,10045,1.0,13502,14762,1.0
95,19545,18545,300.0,19545,11484,300.0
95,19545,18545,300.0,11484,18545,300.0
96,16313,14762,1.0,16313,10045,1.0
96,16313,14762,1.0,10045,14762,1.0
97,12398,10045,300.0,14762,10045,11.00000000000005
97,12398,10045,300.0,19545,14762,11.00000000000005
97,12398,10045,300.0,19545,13009,88.99999999999993
97,12398,10045,300.0,13009,10045,88.99999999999993
97,12398,10045,300.0,14412,10045,200.00000000000003
97,12398,10045,300.0,12398,19545,99.99999999999999
97,12398,10045,300.0,12398,14412,200.0
98,10045,13009,300.0,10045,13009,300.0
99,18545,13502,1.0,18545,13502,1.0
100,10045,18249,1.0,13009,18249,1.0
100,10045,18249,1.0,10045,13009,1.0
101,10045,12398,1.0,14762,12398,1.0
101,10045,12398,1.0,10045,14762,1.0
102,13009,11484,163.0,14762,11484,163.0
102,13009,11484,163.0,13009,14762,163.0
103,10045,10379,253.0,14762,13502,130.00000000000028
103,10045,10379,253.0,19545,11484,5.9999999999999165
103,10045,10379,253.0,10045,14762,130.00000000000028
103,10045,10379,253.0,10045,19545,5.9999999999999165
103,10045,10379,253.0,10045,13502,116.9999999999998
103,10045,10379,253.0,13502,10379,253.0
103,10045,10379,253.0,11484,10757,5.999999999999921
103,10045,10379,253.0,10305,11581,5.999999999999921
103,10045,10379,253.0,11177,13502,5.999999999999921
103,10045,10379,253.0,11581,11177,5.999999999999921
103,10045,10379,253.0,10757,10305,5.999999999999921
104,18249,10045,300.0,18249,10045,300.0
105,10045,18935,1.0,13009,18935,1.0
105,10045,18935,1.0,10045,13009,1.0
106,10379,10045,95.0,10379,10045,94.99999999999999
107,13502,18249,239.0,13502,18249,239.0
108,10045,14762,300.0,10045,14762,300.0
109,10045,14412,1.0,14762,11484,1.0
109,10045,14412,1.0,10045,14762,1.0
109,10045,14412,1.0,11484,14412,1.0
110,16313,11177,300.0,14762,11484,300.0
110,16313,11177,300.0,16313,10045,300.0
110,16313,11177,300.0,10045,14762,300.0
110,16313,11177,300.0,11484,11177,300.0
111,13502,18935,300.0,14762,18935,300.0
111,13502,18935,300.0,13502,14762,300.0
112,18935,11484,1.0,14762,11484,1.0
112,18935,11484,1.0,13009,14762,1.0
112,18935,11484,1.0,18935,13009,1.0
113,10575,19545,108.0,11484,19545,8.999999999999998
113,10575,19545,108.0,10575,19545,99.0
113,10575,19545,108.0,10575,11484,8.999999999999998
114,18935,14762,201.0,13009,14762,201.0
114,18935,14762,201.0,18935,13009,201.0
